title,slug,category,categorySlug,price,tag,inventory,status,image,video,gallery,variants,hues,description,seoTitle,seoDescription,seoKeywords,canonicalUrl,imageAlt,brand,sku,reviewRating,reviewCount,seoFocusKeyphrase,sortOrder,sourceProductId,sourceHandle,sourcePublishedAt
"#YQ Two Gram Whole Melts Phase 3 Disposables","yq-two-gram-whole-melts-phase-3-disposables","Carts","carts","14.5","Carts","0","active","https://cdn.shopify.com/s/files/1/0993/8236/2408/files/IMG_7973_ac77a6ac-5225-44b1-9f6c-c109a35676d9.jpg?v=1782189116","https://kypfpc-f5.myshopify.com/cdn/shop/videos/c/vp/70bafa750a78427a9463011c9d34e0a4/70bafa750a78427a9463011c9d34e0a4.HD-1080p-4.8Mbps-87183184.mp4","[""https://cdn.shopify.com/s/files/1/0993/8236/2408/files/IMG_7973_ac77a6ac-5225-44b1-9f6c-c109a35676d9.jpg?v=1782189116""]","[{""name"":""Default Title"",""price"":14.5,""inventory"":999}]","[""hsl(183, 30%, 18%)"",""hsl(183, 40%, 35%)"",""hsl(183, 50%, 60%)""]","*Anything Lower than 50 is Add On Only* #YQ Two Gram Whole Melts Phase 3 Disposables is available in the Carts catalog from FUELPACKS with live product images, video media when available, variant pricing, and a simple Telegram checkout handoff. This restored listing includes clean product details for shoppers comparing menu items, reviewing availability, choosing options, and sending prepared order details directly to the sales rep. Current variants include Default Title at $14.50. The page includes optimized metadata, descriptive image alt text, a clean slug, pricing information, and product copy built for search visibility.","#YQ Two Gram Whole Melts Phase 3 Disposables | FUELPACKS Carts","#YQ Two Gram Whole Melts Phase 3 Disposables from FUELPACKS Carts. View images, video, variants, price, availability, and send your prepared order...","Carts; #YQ Two Gram Whole Melts Phase 3 Disposables; FUELPACKS; Telegram ordering","/products/yq-two-gram-whole-melts-phase-3-disposables","#YQ Two Gram Whole Melts Phase 3 Disposables product image from FUELPACKS","FUELPACKS","yq-two-gram-whole-melts-phase-3-disposables","","","#YQ Two Gram Whole Melts Phase 3 Disposables","0","gid://shopify/Product/10323222823208","yq-two-gram-whole-melts-phase-3-disposables","2026-06-23T04:33:01Z"
"#ZK Two Gram Sluggers Hit Switch Disposables","zk-two-gram-sluggers-hit-switch-disposables","Carts","carts","14.5","Carts","0","active","https://cdn.shopify.com/s/files/1/0993/8236/2408/files/IMG_7979.jpg?v=1782189496","https://kypfpc-f5.myshopify.com/cdn/shop/videos/c/vp/95ad9d3966c74082aa6fdb4dc3465ad8/95ad9d3966c74082aa6fdb4dc3465ad8.HD-1080p-4.8Mbps-87183521.mp4","[""https://cdn.shopify.com/s/files/1/0993/8236/2408/files/IMG_7979.jpg?v=1782189496""]","[{""name"":""Default Title"",""price"":14.5,""inventory"":999}]","[""hsl(262, 30%, 18%)"",""hsl(262, 40%, 35%)"",""hsl(262, 50%, 60%)""]","*Anything Lower than 50 is Add On Only* #ZK Two Gram Sluggers Hit Switch Disposables is available in the Carts catalog from FUELPACKS with live product images, video media when available, variant pricing, and a simple Telegram checkout handoff. This restored listing includes clean product details for shoppers comparing menu items, reviewing availability, choosing options, and sending prepared order details directly to the sales rep. Current variants include Default Title at $14.50. The page includes optimized metadata, descriptive image alt text, a clean slug, pricing information, and product copy built for search visibility.","#ZK Two Gram Sluggers Hit Switch Disposables | FUELPACKS Carts","#ZK Two Gram Sluggers Hit Switch Disposables from FUELPACKS Carts. View images, video, variants, price, availability, and send your prepared order...","Carts; #ZK Two Gram Sluggers Hit Switch Disposables; FUELPACKS; Telegram ordering","/products/zk-two-gram-sluggers-hit-switch-disposables","#ZK Two Gram Sluggers Hit Switch Disposables product image from FUELPACKS","FUELPACKS","zk-two-gram-sluggers-hit-switch-disposables","","","#ZK Two Gram Sluggers Hit Switch Disposables","1","gid://shopify/Product/10323223478568","zk-two-gram-sluggers-hit-switch-disposables","2026-06-23T04:38:41Z"
"#YA Two Gram Ace Ultra Premium Disposables","ya-two-gram-ace-ultra-premium-disposables","Carts","carts","14.5","Carts","0","active","https://cdn.shopify.com/s/files/1/0993/8236/2408/files/IMG_7981.jpg?v=1782189600","https://kypfpc-f5.myshopify.com/cdn/shop/videos/c/vp/97c419c4939546338da0e4a6a95edea2/97c419c4939546338da0e4a6a95edea2.HD-1080p-4.8Mbps-87183628.mp4","[""https://cdn.shopify.com/s/files/1/0993/8236/2408/files/IMG_7981.jpg?v=1782189600""]","[{""name"":""Default Title"",""price"":14.5,""inventory"":999}]","[""hsl(2, 30%, 18%)"",""hsl(2, 40%, 35%)"",""hsl(2, 50%, 60%)""]","*Anything Lower than 50 is Add On Only* #YA Two Gram Ace Ultra Premium Disposables is available in the Carts catalog from FUELPACKS with live product images, video media when available, variant pricing, and a simple Telegram checkout handoff. This restored listing includes clean product details for shoppers comparing menu items, reviewing availability, choosing options, and sending prepared order details directly to the sales rep. Current variants include Default Title at $14.50. The page includes optimized metadata, descriptive image alt text, a clean slug, pricing information, and product copy built for search visibility.","#YA Two Gram Ace Ultra Premium Disposables | FUELPACKS Carts","#YA Two Gram Ace Ultra Premium Disposables from FUELPACKS Carts. View images, video, variants, price, availability, and send your prepared order through...","Carts; #YA Two Gram Ace Ultra Premium Disposables; FUELPACKS; Telegram ordering","/products/ya-two-gram-ace-ultra-premium-disposables","#YA Two Gram Ace Ultra Premium Disposables product image from FUELPACKS","FUELPACKS","ya-two-gram-ace-ultra-premium-disposables","","","#YA Two Gram Ace Ultra Premium Disposables","2","gid://shopify/Product/10323223576872","ya-two-gram-ace-ultra-premium-disposables","2026-06-23T04:40:31Z"
"#ZM Assorted Edibles","zm-assorted-edibles","Edibles","edibles","8","Edibles","0","active","https://cdn.shopify.com/s/files/1/0993/8236/2408/files/IMG_7983.jpg?v=1782189681","https://kypfpc-f5.myshopify.com/cdn/shop/videos/c/vp/0bab480e8ac8470281dceb9c937353af/0bab480e8ac8470281dceb9c937353af.HD-1080p-4.8Mbps-87183688.mp4","[""https://cdn.shopify.com/s/files/1/0993/8236/2408/files/IMG_7983.jpg?v=1782189681""]","[{""name"":""Default Title"",""price"":8,""inventory"":999}]","[""hsl(270, 30%, 18%)"",""hsl(270, 40%, 35%)"",""hsl(270, 50%, 60%)""]","*Any Amount Lower than 50 is Add On Only* #ZM Assorted Edibles is available in the Edibles catalog from FUELPACKS with live product images, video media when available, variant pricing, and a simple Telegram checkout handoff. This restored listing includes clean product details for shoppers comparing menu items, reviewing availability, choosing options, and sending prepared order details directly to the sales rep. Current variants include Default Title at $8.00. The page includes optimized metadata, descriptive image alt text, a clean slug, pricing information, and product copy built for search visibility.","#ZM Assorted Edibles | FUELPACKS Edibles","#ZM Assorted Edibles from FUELPACKS Edibles. View images, video, variants, price, availability, and send your prepared order through Telegram checkout.","Edibles; #ZM Assorted Edibles; FUELPACKS; Telegram ordering","/products/zm-assorted-edibles","#ZM Assorted Edibles product image from FUELPACKS","FUELPACKS","zm-assorted-edibles","","","#ZM Assorted Edibles","3","gid://shopify/Product/10323223675176","zm-assorted-edibles","2026-06-23T04:41:52Z"
"#ZQ Two Gram Cookies x Freak Disposables","zq-two-gram-cookies-x-freak-disposables","Carts","carts","14.5","Carts","0","active","https://cdn.shopify.com/s/files/1/0993/8236/2408/files/IMG_8173.jpg?v=1782189951","https://kypfpc-f5.myshopify.com/cdn/shop/videos/c/vp/e6b3fed584064157821b914c293f5398/e6b3fed584064157821b914c293f5398.HD-1080p-4.8Mbps-87183886.mp4","[""https://cdn.shopify.com/s/files/1/0993/8236/2408/files/IMG_8173.jpg?v=1782189951""]","[{""name"":""Default Title"",""price"":14.5,""inventory"":999}]","[""hsl(175, 30%, 18%)"",""hsl(175, 40%, 35%)"",""hsl(175, 50%, 60%)""]","*Anything Lower than 50 is Add On Only* #ZQ Two Gram Cookies x Freak Disposables is available in the Carts catalog from FUELPACKS with live product images, video media when available, variant pricing, and a simple Telegram checkout handoff. This restored listing includes clean product details for shoppers comparing menu items, reviewing availability, choosing options, and sending prepared order details directly to the sales rep. Current variants include Default Title at $14.50. The page includes optimized metadata, descriptive image alt text, a clean slug, pricing information, and product copy built for search visibility.","#ZQ Two Gram Cookies x Freak Disposables | FUELPACKS Carts","#ZQ Two Gram Cookies x Freak Disposables from FUELPACKS Carts. View images, video, variants, price, availability, and send your prepared order through...","Carts; #ZQ Two Gram Cookies x Freak Disposables; FUELPACKS; Telegram ordering","/products/zq-two-gram-cookies-x-freak-disposables","#ZQ Two Gram Cookies x Freak Disposables product image from FUELPACKS","FUELPACKS","zq-two-gram-cookies-x-freak-disposables","","","#ZQ Two Gram Cookies x Freak Disposables","4","gid://shopify/Product/10323223937320","zq-two-gram-cookies-x-freak-disposables","2026-06-23T04:46:15Z"
"#ZS Two Gram Hitz Infinity Disposables","zs-two-gram-hitz-infinity-disposables","Carts","carts","14.5","Carts","0","active","https://cdn.shopify.com/s/files/1/0993/8236/2408/files/IMG_8171.jpg?v=1782190030","https://kypfpc-f5.myshopify.com/cdn/shop/videos/c/vp/e176b2929e1742c8afdf06d67f89db3f/e176b2929e1742c8afdf06d67f89db3f.HD-1080p-4.8Mbps-87183934.mp4","[""https://cdn.shopify.com/s/files/1/0993/8236/2408/files/IMG_8171.jpg?v=1782190030""]","[{""name"":""Default Title"",""price"":14.5,""inventory"":999}]","[""hsl(275, 30%, 18%)"",""hsl(275, 40%, 35%)"",""hsl(275, 50%, 60%)""]","*Anything Lower than 50 is Add On Only* #ZS Two Gram Hitz Infinity Disposables is available in the Carts catalog from FUELPACKS with live product images, video media when available, variant pricing, and a simple Telegram checkout handoff. This restored listing includes clean product details for shoppers comparing menu items, reviewing availability, choosing options, and sending prepared order details directly to the sales rep. Current variants include Default Title at $14.50. The page includes optimized metadata, descriptive image alt text, a clean slug, pricing information, and product copy built for search visibility.","#ZS Two Gram Hitz Infinity Disposables | FUELPACKS Carts","#ZS Two Gram Hitz Infinity Disposables from FUELPACKS Carts. View images, video, variants, price, availability, and send your prepared order through...","Carts; #ZS Two Gram Hitz Infinity Disposables; FUELPACKS; Telegram ordering","/products/zs-two-gram-hitz-infinity-disposables","#ZS Two Gram Hitz Infinity Disposables product image from FUELPACKS","FUELPACKS","zs-two-gram-hitz-infinity-disposables","","","#ZS Two Gram Hitz Infinity Disposables","5","gid://shopify/Product/10323224068392","zs-two-gram-hitz-infinity-disposables","2026-06-23T04:47:18Z"
"#ZA Two Gram Luigi Disposables","za-two-gram-luigi-disposables","Carts","carts","15.5","Carts","0","active","https://cdn.shopify.com/s/files/1/0993/8236/2408/files/IMG_8461.jpg?v=1782190116","https://kypfpc-f5.myshopify.com/cdn/shop/videos/c/vp/0f6fe8b5826e4f6d93ec8fc53177ae8c/0f6fe8b5826e4f6d93ec8fc53177ae8c.HD-1080p-4.8Mbps-87183983.mp4","[""https://cdn.shopify.com/s/files/1/0993/8236/2408/files/IMG_8461.jpg?v=1782190116""]","[{""name"":""Default Title"",""price"":15.5,""inventory"":999}]","[""hsl(57, 30%, 18%)"",""hsl(57, 40%, 35%)"",""hsl(57, 50%, 60%)""]","*Anything Lower than 50 is Add On Only* #ZA Two Gram Luigi Disposables is available in the Carts catalog from FUELPACKS with live product images, video media when available, variant pricing, and a simple Telegram checkout handoff. This restored listing includes clean product details for shoppers comparing menu items, reviewing availability, choosing options, and sending prepared order details directly to the sales rep. Current variants include Default Title at $15.50. The page includes optimized metadata, descriptive image alt text, a clean slug, pricing information, and product copy built for search visibility.","#ZA Two Gram Luigi Disposables | FUELPACKS Carts","#ZA Two Gram Luigi Disposables from FUELPACKS Carts. View images, video, variants, price, availability, and send your prepared order through Telegram checkout.","Carts; #ZA Two Gram Luigi Disposables; FUELPACKS; Telegram ordering","/products/za-two-gram-luigi-disposables","#ZA Two Gram Luigi Disposables product image from FUELPACKS","FUELPACKS","za-two-gram-luigi-disposables","","","#ZA Two Gram Luigi Disposables","6","gid://shopify/Product/10323224166696","za-two-gram-luigi-disposables","2026-06-23T04:48:46Z"
"#ZW Two Gram Clean Carts Disposables","zw-two-gram-clean-carts-disposables","Carts","carts","14.5","Carts","0","active","https://cdn.shopify.com/s/files/1/0993/8236/2408/files/IMG_8503.jpg?v=1782190203","https://kypfpc-f5.myshopify.com/cdn/shop/videos/c/vp/7a720d2fee7b43c58f4046a8393c92c1/7a720d2fee7b43c58f4046a8393c92c1.HD-1080p-4.8Mbps-87184153.mp4","[""https://cdn.shopify.com/s/files/1/0993/8236/2408/files/IMG_8503.jpg?v=1782190203""]","[{""name"":""Default Title"",""price"":14.5,""inventory"":999}]","[""hsl(296, 30%, 18%)"",""hsl(296, 40%, 35%)"",""hsl(296, 50%, 60%)""]","*Anything Lower than 50 is Add On Only* #ZW Two Gram Clean Carts Disposables is available in the Carts catalog from FUELPACKS with live product images, video media when available, variant pricing, and a simple Telegram checkout handoff. This restored listing includes clean product details for shoppers comparing menu items, reviewing availability, choosing options, and sending prepared order details directly to the sales rep. Current variants include Default Title at $14.50. The page includes optimized metadata, descriptive image alt text, a clean slug, pricing information, and product copy built for search visibility.","#ZW Two Gram Clean Carts Disposables | FUELPACKS Carts","#ZW Two Gram Clean Carts Disposables from FUELPACKS Carts. View images, video, variants, price, availability, and send your prepared order through...","Carts; #ZW Two Gram Clean Carts Disposables; FUELPACKS; Telegram ordering","/products/zw-two-gram-clean-carts-disposables","#ZW Two Gram Clean Carts Disposables product image from FUELPACKS","FUELPACKS","zw-two-gram-clean-carts-disposables","","","#ZW Two Gram Clean Carts Disposables","7","gid://shopify/Product/10323224396072","zw-two-gram-clean-carts-disposables","2026-06-23T04:50:10Z"
"#ZI Faded Fruits Edibles","zi-faded-fruits-edibles","Edibles","edibles","10","Edibles","0","active","https://cdn.shopify.com/s/files/1/0993/8236/2408/files/IMG_8595.jpg?v=1782190259","https://kypfpc-f5.myshopify.com/cdn/shop/videos/c/vp/e1ade51db82a48c69ab1de38797221b5/e1ade51db82a48c69ab1de38797221b5.HD-1080p-4.8Mbps-87184206.mp4","[""https://cdn.shopify.com/s/files/1/0993/8236/2408/files/IMG_8595.jpg?v=1782190259""]","[{""name"":""Default Title"",""price"":10,""inventory"":999}]","[""hsl(63, 30%, 18%)"",""hsl(63, 40%, 35%)"",""hsl(63, 50%, 60%)""]","*Any Amount Lower than 50 is Add On Only* *Infused Edibles* #ZI Faded Fruits Edibles is available in the Edibles catalog from FUELPACKS with live product images, video media when available, variant pricing, and a simple Telegram checkout handoff. This restored listing includes clean product details for shoppers comparing menu items, reviewing availability, choosing options, and sending prepared order details directly to the sales rep. Current variants include Default Title at $10.00. The page includes optimized metadata, descriptive image alt text, a clean slug, pricing information, and product copy built for search visibility.","#ZI Faded Fruits Edibles | FUELPACKS Edibles","#ZI Faded Fruits Edibles from FUELPACKS Edibles. View images, video, variants, price, availability, and send your prepared order through Telegram checkout.","Edibles; #ZI Faded Fruits Edibles; FUELPACKS; Telegram ordering","/products/zi-faded-fruits-edibles","#ZI Faded Fruits Edibles product image from FUELPACKS","FUELPACKS","zi-faded-fruits-edibles","","","#ZI Faded Fruits Edibles","8","gid://shopify/Product/10323225051432","zi-faded-fruits-edibles","2026-06-23T04:51:51Z"
"#ZB Two Gram Authentic Whole Melts Phase 5 Disposables","zb-two-gram-authentic-whole-melts-phase-5-disposables","Carts","carts","17.5","Carts","0","active","https://cdn.shopify.com/s/files/1/0993/8236/2408/files/IMG_8652.jpg?v=1782190424","https://kypfpc-f5.myshopify.com/cdn/shop/videos/c/vp/3d810a7b6ae54b3b8089a932775d49c3/3d810a7b6ae54b3b8089a932775d49c3.HD-1080p-4.8Mbps-87184345.mp4","[""https://cdn.shopify.com/s/files/1/0993/8236/2408/files/IMG_8652.jpg?v=1782190424""]","[{""name"":""Default Title"",""price"":17.5,""inventory"":999}]","[""hsl(9, 30%, 18%)"",""hsl(9, 40%, 35%)"",""hsl(9, 50%, 60%)""]","*Anything Lower than 50 is Add On Only* #ZB Two Gram Authentic Whole Melts Phase 5 Disposables is available in the Carts catalog from FUELPACKS with live product images, video media when available, variant pricing, and a simple Telegram checkout handoff. This restored listing includes clean product details for shoppers comparing menu items, reviewing availability, choosing options, and sending prepared order details directly to the sales rep. Current variants include Default Title at $17.50. The page includes optimized metadata, descriptive image alt text, a clean slug, pricing information, and product copy built for search visibility.","#ZB Two Gram Authentic Whole Melts Phase 5 Disposables |","#ZB Two Gram Authentic Whole Melts Phase 5 Disposables from FUELPACKS Carts. View images, video, variants, price, availability, and send your prepared...","Carts; #ZB Two Gram Authentic Whole Melts Phase 5 Disposables; FUELPACKS; Telegram ordering","/products/zb-two-gram-authentic-whole-melts-phase-5-disposables","#ZB Two Gram Authentic Whole Melts Phase 5 Disposables product image from FUELPACKS","FUELPACKS","zb-two-gram-authentic-whole-melts-phase-5-disposables","","","#ZB Two Gram Authentic Whole Melts Phase 5 Disposables","9","gid://shopify/Product/10323225805096","zb-two-gram-authentic-whole-melts-phase-5-disposables","2026-06-23T04:53:49Z"
